Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"C245","1","","","100 nF DNP","","","","","","710-885012206071"
"U101","1","","","TPS63700DRCR","","","","","","595-TPS63700DRCR"
"R101","1","","","10","","","","","","667-ERJ-U02D10R0X"
"L102","1","","","10 uH","","","","","","810-MLZ2012M100WT000"
"D102;D101;D103;D302;D303;D301","6","","","2SS100L-W","","","","","","583-2SS100L-W"
"C101;C115;C117;C104;C222;C206;C205;C203;C211;C237;C234;C226;C315;C314;C319","15","","","10 uF","","","","","","81-GRM21BR61E106MA3L"
"C103;C111;C110;C105;C220;C236;C225;C212;C218;C217;C207;C229;C240;C244;C239;C243;C242;C246;C241;C304;C305;C306;C307;C308;C309;C303;C302;C316;C317;C318;C312;C320;C321","33","","","100 nF","","","","","","710-885012206071"
"C106;C109;C114;C116;C108;C113;C310","7","","","4.7 uF","","","","","","647-UWX1E4R7MCL1"
"R246","1","","","1k DNP","","","","","","603-RC0603JR-071KL"
"R247;R318","2","","","10k DNP","","","","","","603-RC0603FR-0710KL"
"C102","1","","","4.7 nF","","","","","","710-885012205029"
"R105","1","","","1.2M","","","","","","603-RC0402JR-071M2L"
"R104","1","","","120k","","","","","","603-RC0603FR-07120KL"
"C112","1","","","10 pF","","","","","","710-885012005074"
"R106;R108;R212;R222;R221;R210;R219;R201;R312;R313","10","","","100k","","","","","","603-RC0402JR-13100KL"
"U102","1","","","NCP1403SNT1G","","","","","","863-NCP1403SNT1G"
"L101","1","","","47 uH","","","","","","810-MLZ2012M470WT000"
"R102","1","","","680k","","","","","","603-RC0603FR-13680KL"
"R103;R308","2","","","47k","","","","","","603-RC0603FR-0747KL"
"C107;C213;C311","3","","","1 nF","","","","","","710-885012205061"
"U302","1","","","STM32F070F6P6","","","","","","511-STM32F070F6P6"
"U301","1","","","ATTINY412-SSNR","","","","","","556-ATTINY412-SSNR"
"J101","1","","","Conn_01x02","","","","","","NoPart"
"R107;R224;R233;R205","4","","","1k","","","","","","603-RC0603JR-071KL"
"Q102;Q204;Q203;Q206;Q205;Q202","6","","","MMBT2222A-7-F","","","","","","621-MMBT2222A-F"
"J304","1","","","USB_B_Micro","","","","","","649-10118194-0001LF"
"Q101","1","","","BSS215PH6327XTSA1","","","","","","726-BSS215PH6327"
"TP102;TP101;TP207;TP208;TP209;TP201;TP205;TP204;TP202;TP206;TP304;TP301;TP302;TP303","14","","","TestPoint","","","","","","NoPart"
"U203","1","","","MAX4477AUA+","","","","","","700-MAX4477AUA"
"R211;R215;R307;R306","4","","","1M","","","","","","603-RC0603JR-071ML"
"C210;C228","2","","","2 pF","","","","","","603-C0603BRNPO9BN2R0"
"R216;R208;R207;R248","4","","","4k7","","","","","","71-CRCW06034K70JNEAC"
"C208;C224;C231","3","","","33 nF","","","","","","710-885012105014"
"U303","1","","","MAX11666AUB+T","","","","","","700-MAX11666AUB+T"
"D201","1","","","QSB34CGR","","","","","","512-QSB34CGR"
"D202","1","","","BPW 34 S-Z","","","","","","720-BPW34S-Z"
"D203","1","","","TEFD4300F","","","","","","78-TEFD4300F"
"R204;R303;R304","3","","","0","","","","","","755-SFR03EZPJ000"
"C214","1","","","150 nF","","","","","","710-885012206021"
"R218","1","","","2k","","","","","","603-RC0603FR-102KL"
"C219","1","","","56 pF","","","","","","77-VJ0402A560KXAPBC"
"U204","1","","","OPA2141AIDR","","","","","","595-OPA2141AIDR"
"U304","1","","","L78L33ABUTR","","","","","","511-L78L33ABU-TR"
"C223;C230","2","","","3.3 nF","","","","","","77-VJ0402A560KXAPBC"
"R228;R220;R237;R229;R238;R202;R217;R206;R240;R241;R242;R310;R317","13","","","10k","","","","","","603-RC0603FR-0710KL"
"C313","1","","","100 pF","","","","","","963-UMK105CH101JVHF"
"R231;R232","2","","","470k","","","","","","603-RC0603FR-07470KL"
"J301","1","","","UART","","","","","","NoPart"
"U202","1","","","TL974IPWR","","","","","","595-TL974IPWR"
"R230","1","","","18k","","","","","","603-RC0603FR-0718KL"
"R226","1","","","12k","","","","","","603-RC0603FR-1012KL"
"J302","1","","","STM32_SWD","","","","","","NoPart"
"R314;R315;R316","3","","","330","","","","","","603-RC0402JR-7D330RL"
"C216;C202;C215;C221;C227;C209;C201;C204;C238;C235;C301","11","","","1 uF","","","","","","710-885012106022"
"R225","1","","","12k DNP","","","","","","603-RC0603FR-1012KL"
"U205","1","","","NLAS4599DFT2G","","","","","","863-NLAS4599DFT2G"
"R234","1","","","330k","","","","","","603-RC0402FR-07330KL"
"R235;R245","2","","","20k","","","","","","755-SFR01MZPF2002"
"C233","1","","","270 pF","","","","","","963-UMK105CH271JVHF"
"C232","1","","","10 pF DNP","","","","","","710-885012005074"
"Y301","1","","","ABM3B-8.000MHZ-10-1UT","","","","","","815-ABM3B-8.0-10-1UT"
"C322;C323","2","","","22 pF","","","","","","710-885012005009"
"Q201","1","","","BFR31,215","","","","","","771-BFR31215"
"R213;R311","2","","","100k DNP","","","","","","603-RC0402JR-13100KL"
"Q207","1","","","TF414T5G","","","","","","863-TF414T5G"
"D305;D306;D304","3","","","TPD1E04U04DPYR","","","","","","595-TPD1E04U04DPYR"
"R223;R227;R209;R203;R214;R239;R236;R309","8","","","33","","","","","","755-ESR03EZPJ330"
"R243","1","","","51k","","","","","","603-RC0402FR-0751KL"
"U201","1","","","ADR550ARTZ-REEL7","","","","","","584-ADR550ARTZ-R7"
"R244","1","","","30k","","","","","","603-AC0402FR-0730KL"
"D205","1","","","PLZ4V7B-G3/H","","","","","","78-PLZ4V7B-G3/H"
"J303","1","","","AVR_DEBUG","","","","","","NoPart"
"R302;R305","2","","","0 DNP","","","","","","755-SFR03EZPJ000"
