Mouser,Quantity
710-885012206071,1
595-TPS63700DRCR,1
667-ERJ-U02D10R0X,1
810-MLZ2012M100WT000,1
583-2SS100L-W,6
81-GRM21BR61E106MA3L,15
710-885012206071,33
647-UWX1E4R7MCL1,7
603-RC0603JR-071KL,1
603-RC0603FR-0710KL,2
710-885012205029,1
603-RC0402JR-071M2L,1
603-RC0603FR-07120KL,1
710-885012005074,1
603-RC0402JR-13100KL,10
863-NCP1403SNT1G,1
810-MLZ2012M470WT000,1
603-RC0603FR-13680KL,1
603-RC0603FR-0747KL,2
710-885012205061,3
511-STM32F070F6P6,1
556-ATTINY412-SSNR,1
603-RC0603JR-071KL,4
621-MMBT2222A-F,6
649-10118194-0001LF,1
726-BSS215PH6327,1
700-MAX4477AUA,1
603-RC0603JR-071ML,4
603-C0603BRNPO9BN2R0,2
71-CRCW06034K70JNEAC,4
710-885012105014,3
700-MAX11666AUB+T,1
512-QSB34CGR,1
720-BPW34S-Z,1
78-TEFD4300F,1
755-SFR03EZPJ000,3
710-885012206021,1
603-RC0603FR-102KL,1
77-VJ0402A560KXAPBC,1
595-OPA2141AIDR,1
511-L78L33ABU-TR,1
77-VJ0402A560KXAPBC,2
603-RC0603FR-0710KL,13
963-UMK105CH101JVHF,1
603-RC0603FR-07470KL,2
595-TL974IPWR,1
603-RC0603FR-0718KL,1
603-RC0603FR-1012KL,1
603-RC0402JR-7D330RL,3
710-885012106022,11
603-RC0603FR-1012KL,1
863-NLAS4599DFT2G,1
603-RC0402FR-07330KL,1
755-SFR01MZPF2002,2
963-UMK105CH271JVHF,1
710-885012005074,1
815-ABM3B-8.0-10-1UT,1
710-885012005009,2
771-BFR31215,1
603-RC0402JR-13100KL,2
863-TF414T5G,1
595-TPD1E04U04DPYR,3
755-ESR03EZPJ330,8
603-RC0402FR-0751KL,1
584-ADR550ARTZ-R7,1
603-AC0402FR-0730KL,1
78-PLZ4V7B-G3/H,1
755-SFR03EZPJ000,2
