Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Mouser
"U2","1","","","ACT4065A","","","","","","107-ACT4065ASH-T"
"C4","1","","","10nF","","","","","","77-VJ0603Y103KXAAC"
"C7","1","","","2.2nF","","","","","","710-885012205027"
"R5","1","","","12k","","","","","","603-AC0402JR-078K2L"
"L1","1","","","33uH","","","","","","652-SRN8040TA-330M"
"R1","1","","","52k","","","","","","667-ERJ-6ENF5102V"
"R2;R4","2","","","10k","","","","","","603-RC0402JR-0710KL"
"C2","1","","","100uF","","","","","","710-875105242010"
"D1","1","","","VS-MBRS340-M39AT","","","","","","78-VS-MBRS340-M39AT"
"U1","1","","","SP485CN-L_TR","","","","","","701-SP485CN-L/TR"
"J5;J3;J4","3","","","Conn_01x02","","","","","","NoPart"
"C1","1","","","100nF","","","","","","710-885012105018"
"J1","1","","","Power","","","","","","NoPart"
"TP1;TP2;TP3","3","","","TestPoint","","","","","","NoPart"
"R3","1","","","0","","","","","","755-SFR03EZPJ000"
"MH1;MH2;MH3;MH4","4","","","MountingHole","","","","","","NoPart"
"C5","1","","","47uF","","","","","","647-UWT1V470MCL1S"
"C3;C6","2","","","10uF","","","","","","710-865060542002"
"J2","1","","","Conn_01x05","","","","","","NoPart"
